"","Year","Month","Date","City","Temperature"
"105","1981","JAN",1981-01-01,"Bogota",12.4
"106","1981","FEB",1981-02-01,"Bogota",13.9
"107","1981","MAR",1981-03-01,"Bogota",13.7
"108","1981","APR",1981-04-01,"Bogota",14
"109","1981","MAY",1981-05-01,"Bogota",14
"110","1981","JUN",1981-06-01,"Bogota",13.9
"111","1981","JUL",1981-07-01,"Bogota",13.1
"112","1981","AUG",1981-08-01,"Bogota",13.1
"113","1981","SEP",1981-09-01,"Bogota",12.9
"114","1981","OCT",1981-10-01,"Bogota",13.1
"115","1981","NOV",1981-11-01,"Bogota",13.6
"116","1981","DEC",1981-12-01,"Bogota",13.3
"117","1982","JAN",1982-01-01,"Bogota",12.6
"118","1982","FEB",1982-02-01,"Bogota",13.8
"119","1982","MAR",1982-03-01,"Bogota",13.8
"120","1982","APR",1982-04-01,"Bogota",13.8
"121","1982","MAY",1982-05-01,"Bogota",13.6
"122","1982","JUN",1982-06-01,"Bogota",13.7
"123","1982","JUL",1982-07-01,"Bogota",13.3
"124","1982","AUG",1982-08-01,"Bogota",13.1
"125","1982","SEP",1982-09-01,"Bogota",13.6
"126","1982","OCT",1982-10-01,"Bogota",13.2
"127","1982","NOV",1982-11-01,"Bogota",13.3
"128","1982","DEC",1982-12-01,"Bogota",13.7
"129","1983","JAN",1983-01-01,"Bogota",14
"130","1983","FEB",1983-02-01,"Bogota",14.6
"131","1983","MAR",1983-03-01,"Bogota",14.5
"132","1983","APR",1983-04-01,"Bogota",14.3
"133","1983","MAY",1983-05-01,"Bogota",14.7
"134","1983","JUN",1983-06-01,"Bogota",13.7
"135","1983","JUL",1983-07-01,"Bogota",13.8
"136","1983","AUG",1983-08-01,"Bogota",13.5
"137","1983","SEP",1983-09-01,"Bogota",13.6
"138","1983","OCT",1983-10-01,"Bogota",13.2
"139","1983","NOV",1983-11-01,"Bogota",13.5
"140","1983","DEC",1983-12-01,"Bogota",12.6
"141","1984","JAN",1984-01-01,"Bogota",12.3
"142","1984","FEB",1984-02-01,"Bogota",12.6
"143","1984","MAR",1984-03-01,"Bogota",13.2
"144","1984","APR",1984-04-01,"Bogota",13.1
"145","1984","MAY",1984-05-01,"Bogota",13.6
"146","1984","JUN",1984-06-01,"Bogota",12.9
"147","1984","JUL",1984-07-01,"Bogota",12.5
"148","1984","AUG",1984-08-01,"Bogota",13
"149","1984","SEP",1984-09-01,"Bogota",12.5
"150","1984","OCT",1984-10-01,"Bogota",12.9
"151","1984","NOV",1984-11-01,"Bogota",12.8
"152","1984","DEC",1984-12-01,"Bogota",12.7
"153","1985","JAN",1985-01-01,"Bogota",12.3
"154","1985","FEB",1985-02-01,"Bogota",12.1
"155","1985","MAR",1985-03-01,"Bogota",13.6
"156","1985","APR",1985-04-01,"Bogota",13.4
"157","1985","MAY",1985-05-01,"Bogota",13.4
"158","1985","JUN",1985-06-01,"Bogota",13
"159","1985","JUL",1985-07-01,"Bogota",12.5
"160","1985","AUG",1985-08-01,"Bogota",12.6
"161","1985","SEP",1985-09-01,"Bogota",12.7
"162","1985","OCT",1985-10-01,"Bogota",12.9
"163","1985","NOV",1985-11-01,"Bogota",12.5
"164","1985","DEC",1985-12-01,"Bogota",12.3
"165","1986","JAN",1986-01-01,"Bogota",13
"166","1986","FEB",1986-02-01,"Bogota",12.5
"167","1986","MAR",1986-03-01,"Bogota",13
"168","1986","APR",1986-04-01,"Bogota",13.7
"169","1986","MAY",1986-05-01,"Bogota",13.7
"170","1986","JUN",1986-06-01,"Bogota",13.1
"171","1986","JUL",1986-07-01,"Bogota",12.7
"172","1986","AUG",1986-08-01,"Bogota",13.1
"173","1986","SEP",1986-09-01,"Bogota",13.1
"174","1986","OCT",1986-10-01,"Bogota",13.2
"175","1986","NOV",1986-11-01,"Bogota",13.3
"176","1986","DEC",1986-12-01,"Bogota",12.8
"177","1987","JAN",1987-01-01,"Bogota",13
"178","1987","FEB",1987-02-01,"Bogota",13.9
"179","1987","MAR",1987-03-01,"Bogota",13.6
"180","1987","APR",1987-04-01,"Bogota",14.1
"181","1987","MAY",1987-05-01,"Bogota",14.1
"182","1987","JUN",1987-06-01,"Bogota",14.2
"183","1987","JUL",1987-07-01,"Bogota",13.9
"184","1987","AUG",1987-08-01,"Bogota",13.6
"185","1987","SEP",1987-09-01,"Bogota",13.4
"186","1987","OCT",1987-10-01,"Bogota",13.7
"187","1987","NOV",1987-11-01,"Bogota",13.6
"188","1987","DEC",1987-12-01,"Bogota",13.1
"189","1988","JAN",1988-01-01,"Bogota",13
"190","1988","FEB",1988-02-01,"Bogota",13.7
"191","1988","MAR",1988-03-01,"Bogota",13.5
"192","1988","APR",1988-04-01,"Bogota",13.8
"193","1988","MAY",1988-05-01,"Bogota",13.7
"194","1988","JUN",1988-06-01,"Bogota",13
"195","1988","JUL",1988-07-01,"Bogota",13
"196","1988","AUG",1988-08-01,"Bogota",13
"197","1988","SEP",1988-09-01,"Bogota",12.9
"198","1988","OCT",1988-10-01,"Bogota",12.9
"199","1988","NOV",1988-11-01,"Bogota",13
"200","1988","DEC",1988-12-01,"Bogota",12.4
"201","1989","JAN",1989-01-01,"Bogota",12.7
"202","1989","FEB",1989-02-01,"Bogota",12.7
"203","1989","MAR",1989-03-01,"Bogota",12.3
"204","1989","APR",1989-04-01,"Bogota",13.5
"205","1989","MAY",1989-05-01,"Bogota",13.3
"206","1989","JUN",1989-06-01,"Bogota",13.5
"207","1989","JUL",1989-07-01,"Bogota",12.7
"208","1989","AUG",1989-08-01,"Bogota",12.9
"209","1989","SEP",1989-09-01,"Bogota",12.8
"210","1989","OCT",1989-10-01,"Bogota",13.3
"211","1989","NOV",1989-11-01,"Bogota",13.5
"212","1989","DEC",1989-12-01,"Bogota",12.4
"213","1990","JAN",1990-01-01,"Bogota",13.2
"214","1990","FEB",1990-02-01,"Bogota",13.1
"215","1990","MAR",1990-03-01,"Bogota",13.8
"216","1990","APR",1990-04-01,"Bogota",13.7
"217","1990","MAY",1990-05-01,"Bogota",13.9
"218","1990","JUN",1990-06-01,"Bogota",14
"219","1990","JUL",1990-07-01,"Bogota",13.3
"220","1990","AUG",1990-08-01,"Bogota",13.5
"221","1990","SEP",1990-09-01,"Bogota",13.3
"222","1990","OCT",1990-10-01,"Bogota",13.1
"223","1990","NOV",1990-11-01,"Bogota",13.5
"224","1990","DEC",1990-12-01,"Bogota",13.2
"225","1991","JAN",1991-01-01,"Bogota",13.3
"226","1991","FEB",1991-02-01,"Bogota",14.3
"227","1991","MAR",1991-03-01,"Bogota",13.7
"228","1991","APR",1991-04-01,"Bogota",14.1
"229","1991","MAY",1991-05-01,"Bogota",14.3
"230","1991","JUN",1991-06-01,"Bogota",14.4
"231","1991","JUL",1991-07-01,"Bogota",13.6
"232","1991","AUG",1991-08-01,"Bogota",13.3
"233","1991","SEP",1991-09-01,"Bogota",13.8
"234","1991","OCT",1991-10-01,"Bogota",13.1
"235","1991","NOV",1991-11-01,"Bogota",13.3
"236","1991","DEC",1991-12-01,"Bogota",13.8
"237","1992","JAN",1992-01-01,"Bogota",13.5
"238","1992","FEB",1992-02-01,"Bogota",13.9
"239","1992","MAR",1992-03-01,"Bogota",14.6
"240","1992","APR",1992-04-01,"Bogota",14.8
"241","1992","MAY",1992-05-01,"Bogota",14.4
"242","1992","JUN",1992-06-01,"Bogota",14.8
"243","1992","JUL",1992-07-01,"Bogota",13.4
"244","1992","AUG",1992-08-01,"Bogota",14.1
"245","1992","SEP",1992-09-01,"Bogota",13.4
"246","1992","OCT",1992-10-01,"Bogota",13.7
"247","1992","NOV",1992-11-01,"Bogota",13.5
"248","1992","DEC",1992-12-01,"Bogota",13.5
"249","1993","JAN",1993-01-01,"Bogota",13.8
"250","1993","FEB",1993-02-01,"Bogota",13.8
"251","1993","MAR",1993-03-01,"Bogota",14.1
"252","1993","APR",1993-04-01,"Bogota",14.1
"253","1993","MAY",1993-05-01,"Bogota",14.1
"254","1993","JUN",1993-06-01,"Bogota",14.2
"255","1993","JUL",1993-07-01,"Bogota",13.7
"256","1993","AUG",1993-08-01,"Bogota",13.7
"257","1993","SEP",1993-09-01,"Bogota",13.4
"258","1993","OCT",1993-10-01,"Bogota",13.3
"259","1993","NOV",1993-11-01,"Bogota",13.4
"260","1993","DEC",1993-12-01,"Bogota",13.5
"261","1994","JAN",1994-01-01,"Bogota",13.2
"262","1994","FEB",1994-02-01,"Bogota",13.7
"263","1994","MAR",1994-03-01,"Bogota",13.7
"264","1994","APR",1994-04-01,"Bogota",14.1
"265","1994","MAY",1994-05-01,"Bogota",14.3
"266","1994","JUN",1994-06-01,"Bogota",13.8
"267","1994","JUL",1994-07-01,"Bogota",13
"268","1994","AUG",1994-08-01,"Bogota",12.9
"269","1994","SEP",1994-09-01,"Bogota",13.3
"270","1994","OCT",1994-10-01,"Bogota",12.8
"271","1994","NOV",1994-11-01,"Bogota",12.8
"272","1994","DEC",1994-12-01,"Bogota",12.9
"273","1995","JAN",1995-01-01,"Bogota",12.5
"274","1995","FEB",1995-02-01,"Bogota",12.7
"275","1995","MAR",1995-03-01,"Bogota",13.4
"276","1995","APR",1995-04-01,"Bogota",13.6
"277","1995","MAY",1995-05-01,"Bogota",13.4
"278","1995","JUN",1995-06-01,"Bogota",13.6
"279","1995","JUL",1995-07-01,"Bogota",12.9
"280","1995","AUG",1995-08-01,"Bogota",12.4
"281","1995","SEP",1995-09-01,"Bogota",13.3
"282","1995","OCT",1995-10-01,"Bogota",13
"283","1995","NOV",1995-11-01,"Bogota",12.7
"284","1995","DEC",1995-12-01,"Bogota",12.1
"285","1996","JAN",1996-01-01,"Bogota",11.1
"286","1996","FEB",1996-02-01,"Bogota",12.4
"287","1996","MAR",1996-03-01,"Bogota",12.8
"288","1996","APR",1996-04-01,"Bogota",12.9
"289","1996","MAY",1996-05-01,"Bogota",12.6
"290","1996","JUN",1996-06-01,"Bogota",13
"291","1996","SEP",1996-09-01,"Bogota",13.1
"292","1998","JAN",1998-01-01,"Bogota",14.2
"293","1998","FEB",1998-02-01,"Bogota",14.6
"294","1998","MAR",1998-03-01,"Bogota",14.8
"295","1998","APR",1998-04-01,"Bogota",15.2
"296","1998","MAY",1998-05-01,"Bogota",14.4
"297","1998","JUN",1998-06-01,"Bogota",14.1
"298","1998","JUL",1998-07-01,"Bogota",13.4
"299","1998","AUG",1998-08-01,"Bogota",13.4
"300","1998","SEP",1998-09-01,"Bogota",13.5
"301","1998","OCT",1998-10-01,"Bogota",13.8
"302","1998","NOV",1998-11-01,"Bogota",14
"303","1998","DEC",1998-12-01,"Bogota",13.5
"304","1999","JAN",1999-01-01,"Bogota",13.2
"305","1999","FEB",1999-02-01,"Bogota",13.3
"306","1999","MAR",1999-03-01,"Bogota",13.2
"307","1999","APR",1999-04-01,"Bogota",13.5
"308","1999","MAY",1999-05-01,"Bogota",13.6
"309","1999","JUN",1999-06-01,"Bogota",13.1
"310","1999","JUL",1999-07-01,"Bogota",13.4
"311","1999","AUG",1999-08-01,"Bogota",13
"312","1999","SEP",1999-09-01,"Bogota",12.8
"313","1999","OCT",1999-10-01,"Bogota",12.9
"314","1999","NOV",1999-11-01,"Bogota",13.2
